"k","frac_covered","gene","superpop"
1,0.506807866868381,"ABCC8","AFR"
2,0.748865355521936,"ABCC8","AFR"
3,0.866868381240545,"ABCC8","AFR"
4,0.924357034795764,"ABCC8","AFR"
5,0.954614220877458,"ABCC8","AFR"
6,0.966717095310136,"ABCC8","AFR"
7,0.972768532526475,"ABCC8","AFR"
8,0.978819969742814,"ABCC8","AFR"
9,0.980332829046899,"ABCC8","AFR"
10,0.981845688350983,"ABCC8","AFR"
11,0.983358547655068,"ABCC8","AFR"
12,0.983358547655068,"ABCC8","AFR"
1,0.585014409221902,"ABCC8","AMR"
2,0.801152737752161,"ABCC8","AMR"
3,0.902017291066282,"ABCC8","AMR"
4,0.948126801152738,"ABCC8","AMR"
5,0.968299711815562,"ABCC8","AMR"
6,0.979827089337176,"ABCC8","AMR"
7,0.985590778097983,"ABCC8","AMR"
8,0.99135446685879,"ABCC8","AMR"
9,0.994236311239193,"ABCC8","AMR"
10,0.994236311239193,"ABCC8","AMR"
1,0.509920634920635,"ABCC8","EAS"
2,0.757936507936508,"ABCC8","EAS"
3,0.869047619047619,"ABCC8","EAS"
4,0.908730158730159,"ABCC8","EAS"
5,0.932539682539683,"ABCC8","EAS"
6,0.946428571428571,"ABCC8","EAS"
7,0.96031746031746,"ABCC8","EAS"
8,0.964285714285714,"ABCC8","EAS"
9,0.968253968253968,"ABCC8","EAS"
10,0.970238095238095,"ABCC8","EAS"
11,0.970238095238095,"ABCC8","EAS"
1,0.530815109343936,"ABCC8","EUR"
2,0.755467196819085,"ABCC8","EUR"
3,0.870775347912525,"ABCC8","EUR"
4,0.920477137176938,"ABCC8","EUR"
5,0.946322067594433,"ABCC8","EUR"
6,0.960238568588469,"ABCC8","EUR"
7,0.968190854870775,"ABCC8","EUR"
8,0.972166998011928,"ABCC8","EUR"
9,0.974155069582505,"ABCC8","EUR"
10,0.976143141153082,"ABCC8","EUR"
11,0.976143141153082,"ABCC8","EUR"
1,0.503067484662577,"ABCC8","SAS"
2,0.740286298568507,"ABCC8","SAS"
3,0.865030674846626,"ABCC8","SAS"
4,0.912065439672802,"ABCC8","SAS"
5,0.942740286298569,"ABCC8","SAS"
6,0.959100204498977,"ABCC8","SAS"
7,0.969325153374233,"ABCC8","SAS"
8,0.977505112474438,"ABCC8","SAS"
9,0.979550102249489,"ABCC8","SAS"
10,0.98159509202454,"ABCC8","SAS"
11,0.98159509202454,"ABCC8","SAS"
1,0.500756429652042,"AKT1","AFR"
2,0.742813918305598,"AKT1","AFR"
3,0.863842662632375,"AKT1","AFR"
4,0.922844175491679,"AKT1","AFR"
5,0.951588502269289,"AKT1","AFR"
6,0.963691376701967,"AKT1","AFR"
7,0.969742813918306,"AKT1","AFR"
8,0.97428139183056,"AKT1","AFR"
9,0.975794251134644,"AKT1","AFR"
10,0.977307110438729,"AKT1","AFR"
11,0.977307110438729,"AKT1","AFR"
1,0.489913544668588,"AKT1","AMR"
2,0.726224783861671,"AKT1","AMR"
3,0.85014409221902,"AKT1","AMR"
4,0.907780979827089,"AKT1","AMR"
5,0.927953890489914,"AKT1","AMR"
6,0.939481268011527,"AKT1","AMR"
7,0.948126801152738,"AKT1","AMR"
8,0.953890489913545,"AKT1","AMR"
9,0.956772334293948,"AKT1","AMR"
10,0.956772334293948,"AKT1","AMR"
1,0.490079365079365,"AKT1","EAS"
2,0.68452380952381,"AKT1","EAS"
3,0.78968253968254,"AKT1","EAS"
4,0.831349206349206,"AKT1","EAS"
5,0.849206349206349,"AKT1","EAS"
6,0.85515873015873,"AKT1","EAS"
7,0.861111111111111,"AKT1","EAS"
8,0.867063492063492,"AKT1","EAS"
9,0.869047619047619,"AKT1","EAS"
10,0.871031746031746,"AKT1","EAS"
11,0.871031746031746,"AKT1","EAS"
1,0.526838966202783,"AKT1","EUR"
2,0.755467196819085,"AKT1","EUR"
3,0.858846918489066,"AKT1","EUR"
4,0.89065606361829,"AKT1","EUR"
5,0.908548707753479,"AKT1","EUR"
6,0.922465208747515,"AKT1","EUR"
7,0.932405566600398,"AKT1","EUR"
8,0.936381709741551,"AKT1","EUR"
9,0.938369781312127,"AKT1","EUR"
10,0.940357852882704,"AKT1","EUR"
11,0.94234592445328,"AKT1","EUR"
12,0.94234592445328,"AKT1","EUR"
1,0.539877300613497,"AKT1","SAS"
2,0.797546012269939,"AKT1","SAS"
3,0.879345603271984,"AKT1","SAS"
4,0.905930470347648,"AKT1","SAS"
5,0.922290388548057,"AKT1","SAS"
6,0.936605316973415,"AKT1","SAS"
7,0.942740286298569,"AKT1","SAS"
8,0.948875255623722,"AKT1","SAS"
9,0.952965235173824,"AKT1","SAS"
10,0.955010224948875,"AKT1","SAS"
11,0.957055214723926,"AKT1","SAS"
12,0.957055214723926,"AKT1","SAS"
1,0.514372163388805,"CARD11","AFR"
2,0.770045385779123,"CARD11","AFR"
3,0.897125567322239,"CARD11","AFR"
4,0.954614220877458,"CARD11","AFR"
5,0.977307110438729,"CARD11","AFR"
6,0.986384266263237,"CARD11","AFR"
7,0.992435703479576,"CARD11","AFR"
8,0.993948562783661,"CARD11","AFR"
9,0.995461422087746,"CARD11","AFR"
10,0.995461422087746,"CARD11","AFR"
1,0.507204610951009,"CARD11","AMR"
2,0.75792507204611,"CARD11","AMR"
3,0.893371757925072,"CARD11","AMR"
4,0.951008645533141,"CARD11","AMR"
5,0.979827089337176,"CARD11","AMR"
6,0.985590778097983,"CARD11","AMR"
7,0.988472622478386,"CARD11","AMR"
8,0.99135446685879,"CARD11","AMR"
9,0.994236311239193,"CARD11","AMR"
10,0.994236311239193,"CARD11","AMR"
1,0.523809523809524,"CARD11","EAS"
2,0.75,"CARD11","EAS"
3,0.863095238095238,"CARD11","EAS"
4,0.926587301587302,"CARD11","EAS"
5,0.958333333333333,"CARD11","EAS"
6,0.972222222222222,"CARD11","EAS"
7,0.982142857142857,"CARD11","EAS"
8,0.988095238095238,"CARD11","EAS"
9,0.994047619047619,"CARD11","EAS"
10,0.996031746031746,"CARD11","EAS"
11,0.998015873015873,"CARD11","EAS"
12,0.998015873015873,"CARD11","EAS"
1,0.514910536779324,"CARD11","EUR"
2,0.759443339960239,"CARD11","EUR"
3,0.886679920477137,"CARD11","EUR"
4,0.944333996023857,"CARD11","EUR"
5,0.972166998011928,"CARD11","EUR"
6,0.986083499005964,"CARD11","EUR"
7,0.990059642147117,"CARD11","EUR"
8,0.99403578528827,"CARD11","EUR"
9,0.99403578528827,"CARD11","EUR"
1,0.519427402862986,"CARD11","SAS"
2,0.773006134969325,"CARD11","SAS"
3,0.887525562372188,"CARD11","SAS"
4,0.94478527607362,"CARD11","SAS"
5,0.965235173824131,"CARD11","SAS"
6,0.975460122699387,"CARD11","SAS"
7,0.98159509202454,"CARD11","SAS"
8,0.983640081799591,"CARD11","SAS"
9,0.985685071574642,"CARD11","SAS"
10,0.985685071574642,"CARD11","SAS"
1,0.491679273827534,"COL1A1","AFR"
2,0.709531013615734,"COL1A1","AFR"
3,0.803328290468986,"COL1A1","AFR"
4,0.860816944024206,"COL1A1","AFR"
5,0.889561270801815,"COL1A1","AFR"
6,0.907715582450832,"COL1A1","AFR"
7,0.924357034795764,"COL1A1","AFR"
8,0.933434190620272,"COL1A1","AFR"
9,0.936459909228442,"COL1A1","AFR"
10,0.939485627836611,"COL1A1","AFR"
11,0.940998487140696,"COL1A1","AFR"
12,0.942511346444781,"COL1A1","AFR"
13,0.942511346444781,"COL1A1","AFR"
1,0.524495677233429,"COL1A1","AMR"
2,0.723342939481268,"COL1A1","AMR"
3,0.832853025936599,"COL1A1","AMR"
4,0.878962536023055,"COL1A1","AMR"
5,0.899135446685879,"COL1A1","AMR"
6,0.9164265129683,"COL1A1","AMR"
7,0.927953890489914,"COL1A1","AMR"
8,0.930835734870317,"COL1A1","AMR"
9,0.930835734870317,"COL1A1","AMR"
1,0.484126984126984,"COL1A1","EAS"
2,0.724206349206349,"COL1A1","EAS"
3,0.841269841269841,"COL1A1","EAS"
4,0.878968253968254,"COL1A1","EAS"
5,0.896825396825397,"COL1A1","EAS"
6,0.902777777777778,"COL1A1","EAS"
7,0.906746031746032,"COL1A1","EAS"
8,0.908730158730159,"COL1A1","EAS"
9,0.910714285714286,"COL1A1","EAS"
10,0.910714285714286,"COL1A1","EAS"
1,0.504970178926441,"COL1A1","EUR"
2,0.737574552683897,"COL1A1","EUR"
3,0.848906560636183,"COL1A1","EUR"
4,0.90258449304175,"COL1A1","EUR"
5,0.918489065606362,"COL1A1","EUR"
6,0.926441351888668,"COL1A1","EUR"
7,0.930417495029821,"COL1A1","EUR"
8,0.930417495029821,"COL1A1","EUR"
1,0.507157464212679,"COL1A1","SAS"
2,0.723926380368098,"COL1A1","SAS"
3,0.83640081799591,"COL1A1","SAS"
4,0.850715746421268,"COL1A1","SAS"
5,0.860940695296524,"COL1A1","SAS"
6,0.867075664621677,"COL1A1","SAS"
7,0.869120654396728,"COL1A1","SAS"
8,0.869120654396728,"COL1A1","SAS"
1,0.505295007564297,"COL1A2","AFR"
2,0.732223903177005,"COL1A2","AFR"
3,0.851739788199697,"COL1A2","AFR"
4,0.885022692889561,"COL1A2","AFR"
5,0.904689863842663,"COL1A2","AFR"
6,0.91981845688351,"COL1A2","AFR"
7,0.925869894099849,"COL1A2","AFR"
8,0.927382753403933,"COL1A2","AFR"
9,0.928895612708018,"COL1A2","AFR"
10,0.930408472012103,"COL1A2","AFR"
11,0.931921331316188,"COL1A2","AFR"
12,0.933434190620272,"COL1A2","AFR"
13,0.933434190620272,"COL1A2","AFR"
1,0.489913544668588,"COL1A2","AMR"
2,0.717579250720461,"COL1A2","AMR"
3,0.829971181556196,"COL1A2","AMR"
4,0.876080691642651,"COL1A2","AMR"
5,0.899135446685879,"COL1A2","AMR"
6,0.904899135446686,"COL1A2","AMR"
7,0.907780979827089,"COL1A2","AMR"
8,0.910662824207493,"COL1A2","AMR"
9,0.913544668587896,"COL1A2","AMR"
10,0.913544668587896,"COL1A2","AMR"
1,0.515873015873016,"COL1A2","EAS"
2,0.700396825396825,"COL1A2","EAS"
3,0.799603174603175,"COL1A2","EAS"
4,0.823412698412698,"COL1A2","EAS"
5,0.83531746031746,"COL1A2","EAS"
6,0.83531746031746,"COL1A2","EAS"
1,0.512922465208748,"COL1A2","EUR"
2,0.745526838966203,"COL1A2","EUR"
3,0.827037773359841,"COL1A2","EUR"
4,0.876739562624254,"COL1A2","EUR"
5,0.89662027833002,"COL1A2","EUR"
6,0.90258449304175,"COL1A2","EUR"
7,0.904572564612326,"COL1A2","EUR"
8,0.906560636182903,"COL1A2","EUR"
9,0.908548707753479,"COL1A2","EUR"
10,0.908548707753479,"COL1A2","EUR"
1,0.494887525562372,"COL1A2","SAS"
2,0.734151329243354,"COL1A2","SAS"
3,0.838445807770961,"COL1A2","SAS"
4,0.87321063394683,"COL1A2","SAS"
5,0.889570552147239,"COL1A2","SAS"
6,0.89161554192229,"COL1A2","SAS"
7,0.89161554192229,"COL1A2","SAS"
1,0.524962178517398,"COL2A1","AFR"
2,0.763993948562784,"COL2A1","AFR"
3,0.857791225416036,"COL2A1","AFR"
4,0.907715582450832,"COL2A1","AFR"
5,0.927382753403933,"COL2A1","AFR"
6,0.937972768532526,"COL2A1","AFR"
7,0.94553706505295,"COL2A1","AFR"
8,0.951588502269289,"COL2A1","AFR"
9,0.953101361573374,"COL2A1","AFR"
10,0.954614220877458,"COL2A1","AFR"
11,0.956127080181543,"COL2A1","AFR"
12,0.956127080181543,"COL2A1","AFR"
1,0.498559077809798,"COL2A1","AMR"
2,0.717579250720461,"COL2A1","AMR"
3,0.760806916426513,"COL2A1","AMR"
4,0.783861671469741,"COL2A1","AMR"
5,0.798270893371758,"COL2A1","AMR"
6,0.804034582132565,"COL2A1","AMR"
7,0.806916426512968,"COL2A1","AMR"
8,0.809798270893372,"COL2A1","AMR"
9,0.812680115273775,"COL2A1","AMR"
10,0.812680115273775,"COL2A1","AMR"
1,0.509920634920635,"COL2A1","EAS"
2,0.71031746031746,"COL2A1","EAS"
3,0.76984126984127,"COL2A1","EAS"
4,0.805555555555556,"COL2A1","EAS"
5,0.821428571428571,"COL2A1","EAS"
6,0.83531746031746,"COL2A1","EAS"
7,0.845238095238095,"COL2A1","EAS"
8,0.851190476190476,"COL2A1","EAS"
9,0.85515873015873,"COL2A1","EAS"
10,0.857142857142857,"COL2A1","EAS"
11,0.859126984126984,"COL2A1","EAS"
12,0.861111111111111,"COL2A1","EAS"
13,0.861111111111111,"COL2A1","EAS"
1,0.538767395626243,"COL2A1","EUR"
2,0.719681908548708,"COL2A1","EUR"
3,0.803180914512923,"COL2A1","EUR"
4,0.84493041749503,"COL2A1","EUR"
5,0.866799204771372,"COL2A1","EUR"
6,0.874751491053678,"COL2A1","EUR"
7,0.880715705765408,"COL2A1","EUR"
8,0.884691848906561,"COL2A1","EUR"
9,0.886679920477137,"COL2A1","EUR"
10,0.888667992047714,"COL2A1","EUR"
11,0.888667992047714,"COL2A1","EUR"
1,0.537832310838446,"COL2A1","SAS"
2,0.78118609406953,"COL2A1","SAS"
3,0.850715746421268,"COL2A1","SAS"
4,0.877300613496933,"COL2A1","SAS"
5,0.893660531697341,"COL2A1","SAS"
6,0.903885480572597,"COL2A1","SAS"
7,0.907975460122699,"COL2A1","SAS"
8,0.912065439672802,"COL2A1","SAS"
9,0.916155419222904,"COL2A1","SAS"
10,0.918200408997955,"COL2A1","SAS"
11,0.920245398773006,"COL2A1","SAS"
12,0.922290388548057,"COL2A1","SAS"
13,0.924335378323108,"COL2A1","SAS"
14,0.92638036809816,"COL2A1","SAS"
15,0.92638036809816,"COL2A1","SAS"
1,0.456883509833585,"KCNJ11","AFR"
2,0.549167927382753,"KCNJ11","AFR"
3,0.627836611195159,"KCNJ11","AFR"
4,0.680786686838124,"KCNJ11","AFR"
5,0.692889561270802,"KCNJ11","AFR"
6,0.698940998487141,"KCNJ11","AFR"
7,0.70196671709531,"KCNJ11","AFR"
8,0.70499243570348,"KCNJ11","AFR"
9,0.706505295007564,"KCNJ11","AFR"
10,0.708018154311649,"KCNJ11","AFR"
11,0.708018154311649,"KCNJ11","AFR"
1,0.489913544668588,"KCNJ11","AMR"
2,0.708933717579251,"KCNJ11","AMR"
3,0.772334293948127,"KCNJ11","AMR"
4,0.780979827089337,"KCNJ11","AMR"
5,0.783861671469741,"KCNJ11","AMR"
