"k","mean","lo","hi","gene","superpop"
1,0.373715582450832,0.322617246596067,0.465960665658094,"ABCC8","AFR"
2,0.582668683812405,0.51588502269289,0.665658093797277,"ABCC8","AFR"
3,0.711228441754917,0.671709531013616,0.777609682299546,"ABCC8","AFR"
4,0.791715582450832,0.759455370650529,0.841149773071104,"ABCC8","AFR"
5,0.84299243570348,0.816944024205749,0.886535552193646,"ABCC8","AFR"
6,0.878236006051437,0.856278366111952,0.912254160363086,"ABCC8","AFR"
7,0.903125567322239,0.885022692889561,0.928895612708018,"ABCC8","AFR"
8,0.920045385779123,0.907337367624811,0.940998487140696,"ABCC8","AFR"
9,0.933116490166415,0.921331316187595,0.950075642965204,"ABCC8","AFR"
10,0.942874432677761,0.933434190620272,0.957639939485628,"ABCC8","AFR"
1,0.411187319884726,0.321325648414986,0.504322766570605,"ABCC8","AMR"
2,0.599118155619597,0.538904899135447,0.694524495677233,"ABCC8","AMR"
3,0.700743515850144,0.63328530259366,0.769452449567723,"ABCC8","AMR"
4,0.763475504322767,0.719740634005764,0.824207492795389,"ABCC8","AMR"
5,0.811763688760807,0.772334293948127,0.867435158501441,"ABCC8","AMR"
6,0.84114121037464,0.804034582132565,0.890489913544669,"ABCC8","AMR"
7,0.864743515850144,0.829971181556196,0.907780979827089,"ABCC8","AMR"
8,0.881152737752161,0.855907780979827,0.920028818443804,"ABCC8","AMR"
9,0.89650144092219,0.873198847262248,0.93371757925072,"ABCC8","AMR"
10,0.907423631123919,0.887608069164265,0.942363112391931,"ABCC8","AMR"
1,0.342781746031746,0.198412698412698,0.476190476190476,"ABCC8","EAS"
2,0.527730158730159,0.484126984126984,0.645337301587302,"ABCC8","EAS"
3,0.629873015873016,0.559027777777778,0.73015873015873,"ABCC8","EAS"
4,0.700349206349206,0.634424603174603,0.773809523809524,"ABCC8","EAS"
5,0.744396825396825,0.697916666666667,0.803571428571429,"ABCC8","EAS"
6,0.777666666666667,0.742063492063492,0.833333333333333,"ABCC8","EAS"
7,0.803638888888889,0.771825396825397,0.851190476190476,"ABCC8","EAS"
8,0.823023809523809,0.795634920634921,0.865575396825397,"ABCC8","EAS"
9,0.837198412698413,0.81547619047619,0.875,"ABCC8","EAS"
10,0.850087301587302,0.829365079365079,0.886904761904762,"ABCC8","EAS"
1,0.37741550695825,0.340457256461233,0.47117296222664,"ABCC8","EUR"
2,0.556087475149105,0.480616302186879,0.669980119284294,"ABCC8","EUR"
3,0.666560636182903,0.597415506958251,0.74155069582505,"ABCC8","EUR"
4,0.733992047713718,0.695328031809145,0.801192842942346,"ABCC8","EUR"
5,0.777717693836978,0.737574552683897,0.835487077534791,"ABCC8","EUR"
6,0.810019880715706,0.773359840954274,0.862823061630219,"ABCC8","EUR"
7,0.835335984095427,0.801192842942346,0.886679920477137,"ABCC8","EUR"
8,0.854147117296223,0.819085487077535,0.89662027833002,"ABCC8","EUR"
9,0.869904572564612,0.836978131212724,0.908548707753479,"ABCC8","EUR"
10,0.882151093439364,0.854870775347913,0.916500994035785,"ABCC8","EUR"
1,0.340188139059305,0.319018404907975,0.427914110429448,"ABCC8","SAS"
2,0.526302658486708,0.447341513292434,0.623721881390593,"ABCC8","SAS"
3,0.634032719836401,0.556237218813906,0.715746421267894,"ABCC8","SAS"
4,0.70800408997955,0.662065439672802,0.785276073619632,"ABCC8","SAS"
5,0.752748466257669,0.703476482617587,0.822597137014315,"ABCC8","SAS"
6,0.789963190184049,0.741820040899795,0.852760736196319,"ABCC8","SAS"
7,0.816548057259714,0.777096114519427,0.877300613496933,"ABCC8","SAS"
8,0.841247443762781,0.809815950920245,0.895705521472393,"ABCC8","SAS"
9,0.861419222903886,0.828220858895706,0.907975460122699,"ABCC8","SAS"
10,0.875963190184049,0.846625766871166,0.916155419222904,"ABCC8","SAS"
1,0.354735249621785,0.257186081694402,0.467473524962179,"AKT1","AFR"
2,0.555177004538578,0.485627836611195,0.630862329803328,"AKT1","AFR"
3,0.68009984871407,0.633509833585477,0.746217851739788,"AKT1","AFR"
4,0.760151285930408,0.717095310136157,0.816944024205749,"AKT1","AFR"
5,0.810423600605144,0.774583963691377,0.859304084720121,"AKT1","AFR"
6,0.846583963691377,0.818078668683812,0.885022692889561,"AKT1","AFR"
7,0.874735249621785,0.853252647503782,0.906202723146747,"AKT1","AFR"
8,0.893234493192133,0.872919818456883,0.921331316187595,"AKT1","AFR"
9,0.908493192133132,0.892208774583964,0.930408472012103,"AKT1","AFR"
10,0.92003328290469,0.905824508320726,0.937972768532526,"AKT1","AFR"
1,0.386674351585014,0.357348703170029,0.449567723342939,"AKT1","AMR"
