"k","frac_covered","gene","n_snps_avail"
1,0.496252342286071,"ABCC8",210
2,0.734540911930044,"ABCC8",210
3,0.841661461586508,"ABCC8",210
4,0.898188632104934,"ABCC8",210
5,0.931292941911305,"ABCC8",210
6,0.955340412242349,"ABCC8",210
7,0.967207995003123,"ABCC8",210
8,0.972517176764522,"ABCC8",210
9,0.975640224859463,"ABCC8",210
10,0.978450968144909,"ABCC8",210
11,0.98001249219238,"ABCC8",210
12,0.981261711430356,"ABCC8",210
13,0.982510930668332,"ABCC8",210
14,0.983447845096814,"ABCC8",210
15,0.984072454715803,"ABCC8",210
16,0.984697064334791,"ABCC8",210
17,0.985321673953779,"ABCC8",210
18,0.985633978763273,"ABCC8",210
19,0.985946283572767,"ABCC8",210
20,0.986258588382261,"ABCC8",210
21,0.986570893191755,"ABCC8",210
22,0.986883198001249,"ABCC8",210
23,0.987195502810743,"ABCC8",210
24,0.987195502810743,"ABCC8",210
1,0.480637101811368,"AKT1",44
2,0.69893816364772,"AKT1",44
3,0.809181761399126,"AKT1",44
4,0.861024359775141,"AKT1",44
5,0.888819487820112,"AKT1",44
6,0.905371642723298,"AKT1",44
7,0.915365396627108,"AKT1",44
8,0.922548407245472,"AKT1",44
9,0.928169893816365,"AKT1",44
10,0.931917551530294,"AKT1",44
11,0.93472829481574,"AKT1",44
12,0.937226733291693,"AKT1",44
13,0.939725171767645,"AKT1",44
14,0.941286695815116,"AKT1",44
15,0.942535915053092,"AKT1",44
16,0.943472829481574,"AKT1",44
17,0.944097439100562,"AKT1",44
18,0.94472204871955,"AKT1",44
19,0.945346658338538,"AKT1",44
20,0.945971267957527,"AKT1",44
21,0.946283572767021,"AKT1",44
22,0.946595877576515,"AKT1",44
23,0.946908182386009,"AKT1",44
24,0.947220487195503,"AKT1",44
25,0.947532792004997,"AKT1",44
26,0.947532792004997,"AKT1",44
1,0.484384759525297,"CARD11",391
2,0.729856339787633,"CARD11",391
3,0.857276702061212,"CARD11",391
4,0.922860712054966,"CARD11",391
5,0.955652717051843,"CARD11",391
6,0.972829481574016,"CARD11",391
7,0.982510930668332,"CARD11",391
8,0.988132417239226,"CARD11",391
9,0.991255465334166,"CARD11",391
10,0.992816989381636,"CARD11",391
11,0.993441599000625,"CARD11",391
12,0.993753903810119,"CARD11",391
13,0.994066208619613,"CARD11",391
14,0.994378513429107,"CARD11",391
15,0.994690818238601,"CARD11",391
16,0.994690818238601,"CARD11",391
1,0.487507807620237,"COL1A1",29
2,0.68738288569644,"COL1A1",29
3,0.805121798875703,"COL1A1",29
4,0.850405996252342,"COL1A1",29
5,0.873828856964397,"COL1A1",29
6,0.891630231105559,"COL1A1",29
7,0.902248594628357,"COL1A1",29
8,0.910993129294191,"COL1A1",29
9,0.915677701436602,"COL1A1",29
10,0.919425359150531,"COL1A1",29
11,0.922236102435978,"COL1A1",29
12,0.924422236102436,"COL1A1",29
13,0.925983760149906,"COL1A1",29
