"k","mean_cov","gene"
1,0.502590435237345,"ABCC8"
2,0.734364422290733,"ABCC8"
3,0.846120712964257,"ABCC8"
4,0.90388475535726,"ABCC8"
5,0.935866792292776,"ABCC8"
6,0.954914656267247,"ABCC8"
7,0.966801230040487,"ABCC8"
8,0.971733632652932,"ABCC8"
9,0.975280098091173,"ABCC8"
10,0.977661050472126,"ABCC8"
1,0.480002821601892,"AKT1"
2,0.697986566055985,"AKT1"
3,0.814617405558757,"AKT1"
4,0.862195478652038,"AKT1"
5,0.889821971796093,"AKT1"
6,0.908793064103794,"AKT1"
7,0.916705351788443,"AKT1"
8,0.923111190839551,"AKT1"
9,0.927362376316303,"AKT1"
10,0.929881738602425,"AKT1"
1,0.485589730155984,"CARD11"
2,0.732997823963144,"CARD11"
3,0.857192899504854,"CARD11"
4,0.922594694488082,"CARD11"
5,0.955784730285475,"CARD11"
6,0.97212222281772,"CARD11"
7,0.981405618061777,"CARD11"
8,0.987857862629708,"CARD11"
9,0.990856131290479,"CARD11"
10,0.992406483356756,"CARD11"
1,0.486941698077201,"COL1A1"
2,0.696889924759509,"COL1A1"
3,0.813024249671356,"COL1A1"
4,0.852933160727345,"COL1A1"
5,0.880182796499954,"COL1A1"
6,0.894538919526716,"COL1A1"
7,0.904822892225,"COL1A1"
8,0.913102740516017,"COL1A1"
9,0.91743753396704,"COL1A1"
10,0.920546226604718,"COL1A1"
1,0.479196625722043,"COL1A2"
2,0.685618275564924,"COL1A2"
3,0.797982095019998,"COL1A2"
4,0.84914681214903,"COL1A2"
5,0.870355107513444,"COL1A2"
6,0.882355692779221,"COL1A2"
7,0.891239538803763,"COL1A2"
8,0.895417995164094,"COL1A2"
9,0.897933612503928,"COL1A2"
10,0.899417696962459,"COL1A2"
1,0.512668662137179,"COL2A1"
2,0.729844970023919,"COL2A1"
3,0.78776104773625,"COL2A1"
4,0.82305036706172,"COL2A1"
5,0.847188987680682,"COL2A1"
6,0.858028252609875,"COL2A1"
7,0.865765479840715,"COL2A1"
8,0.872548036521604,"COL2A1"
9,0.877550347553688,"COL2A1"
10,0.881898288650534,"COL2A1"
1,0.46630144034621,"KCNJ11"
2,0.628964784633008,"KCNJ11"
3,0.695747145629575,"KCNJ11"
4,0.706969797966012,"KCNJ11"
5,0.715110463362517,"KCNJ11"
6,0.722152590190814,"KCNJ11"
7,0.726880464092375,"KCNJ11"
8,0.729216642087349,"KCNJ11"
9,0.731299809407487,"KCNJ11"
10,0.732510096850755,"KCNJ11"
1,0.494178921315649,"KCNQ2"
2,0.688785168762071,"KCNQ2"
3,0.788073241880447,"KCNQ2"
4,0.84486017649782,"KCNQ2"
5,0.880202423291259,"KCNQ2"
6,0.898184842928353,"KCNQ2"
7,0.909366592528689,"KCNQ2"
8,0.917025915574464,"KCNQ2"
9,0.922331587384655,"KCNQ2"
10,0.926209585699614,"KCNQ2"
1,0.499580045871143,"KIF1A"
2,0.706743333531762,"KIF1A"
3,0.82268203565879,"KIF1A"
4,0.88775803275233,"KIF1A"
5,0.925043042117827,"KIF1A"
6,0.945948907124136,"KIF1A"
7,0.958026354721263,"KIF1A"
8,0.966657360971442,"KIF1A"
9,0.970957318716886,"KIF1A"
10,0.974400753196704,"KIF1A"
1,0.479436962054804,"KIF5B"
2,0.597627892968458,"KIF5B"
3,0.706385234381431,"KIF5B"
4,0.717579945457242,"KIF5B"
5,0.723271551426399,"KIF5B"
6,0.728178968807215,"KIF5B"
7,0.728972619600866,"KIF5B"
8,0.729369444997692,"KIF5B"
9,0.729369444997692,"KIF5B"
10,0.729369444997692,"KIF5B"
1,0.425584275979689,"MTOR"
2,0.608185919739634,"MTOR"
3,0.691054251728095,"MTOR"
4,0.753386465347067,"MTOR"
5,0.771564314809085,"MTOR"
6,0.781496897341898,"MTOR"
7,0.790201863190692,"MTOR"
8,0.795855134184104,"MTOR"
9,0.800317594014663,"MTOR"
10,0.804479930772226,"MTOR"
1,0.500858619231834,"NLRP3"
2,0.754229596960592,"NLRP3"
3,0.877609460594938,"NLRP3"
4,0.93434505900972,"NLRP3"
5,0.961683133792504,"NLRP3"
6,0.973823403023474,"NLRP3"
7,0.980749335319581,"NLRP3"
8,0.985495679647832,"NLRP3"
9,0.988665263816123,"NLRP3"
10,0.990926396780937,"NLRP3"
1,0.427175142915874,"PIK3CA"
2,0.561795888540322,"PIK3CA"
3,0.617856448562164,"PIK3CA"
4,0.642375352847148,"PIK3CA"
5,0.656864524540088,"PIK3CA"
6,0.669354757248016,"PIK3CA"
7,0.676753655121086,"PIK3CA"
8,0.682412845432797,"PIK3CA"
9,0.684530848458515,"PIK3CA"
10,0.685326077086746,"PIK3CA"
1,0.478407510704271,"RELA"
2,0.604533697912349,"RELA"
3,0.619434704616763,"RELA"
4,0.628094189198241,"RELA"
5,0.629067383471147,"RELA"
6,0.629067383471147,"RELA"
7,0.629067383471147,"RELA"
1,0.502431135213904,"SCN2A"
2,0.741703735184281,"SCN2A"
3,0.855750736169372,"SCN2A"
4,0.907418894672132,"SCN2A"
5,0.935559435039298,"SCN2A"
6,0.947424819365329,"SCN2A"
7,0.951449402260929,"SCN2A"
8,0.954657567081088,"SCN2A"
9,0.957161115997132,"SCN2A"
10,0.959063950920725,"SCN2A"
1,0.456393403110949,"SCN8A"
2,0.660249861785505,"SCN8A"
3,0.77581524995595,"SCN8A"
4,0.847118931169373,"SCN8A"
5,0.885213358776733,"SCN8A"
6,0.904359044781587,"SCN8A"
7,0.916185121502367,"SCN8A"
8,0.920805884526839,"SCN8A"
