"k","frac_covered","gene","superpop"
1,0.51588502269289,"ABCC8","AFR"
2,0.757942511346445,"ABCC8","AFR"
3,0.881996974281392,"ABCC8","AFR"
4,0.934947049924357,"ABCC8","AFR"
5,0.957639939485628,"ABCC8","AFR"
6,0.969742813918306,"ABCC8","AFR"
7,0.975794251134644,"ABCC8","AFR"
8,0.980332829046899,"ABCC8","AFR"
9,0.983358547655068,"ABCC8","AFR"
10,0.984871406959153,"ABCC8","AFR"
1,0.585014409221902,"ABCC8","AMR"
2,0.806916426512968,"ABCC8","AMR"
3,0.910662824207493,"ABCC8","AMR"
4,0.948126801152738,"ABCC8","AMR"
5,0.968299711815562,"ABCC8","AMR"
6,0.979827089337176,"ABCC8","AMR"
7,0.988472622478386,"ABCC8","AMR"
8,0.99135446685879,"ABCC8","AMR"
9,0.994236311239193,"ABCC8","AMR"
10,0.994236311239193,"ABCC8","AMR"
1,0.527777777777778,"ABCC8","EAS"
2,0.767857142857143,"ABCC8","EAS"
3,0.882936507936508,"ABCC8","EAS"
4,0.920634920634921,"ABCC8","EAS"
5,0.942460317460317,"ABCC8","EAS"
6,0.956349206349206,"ABCC8","EAS"
7,0.962301587301587,"ABCC8","EAS"
8,0.968253968253968,"ABCC8","EAS"
9,0.972222222222222,"ABCC8","EAS"
10,0.974206349206349,"ABCC8","EAS"
1,0.530815109343936,"ABCC8","EUR"
2,0.755467196819085,"ABCC8","EUR"
3,0.874751491053678,"ABCC8","EUR"
4,0.926441351888668,"ABCC8","EUR"
5,0.95427435387674,"ABCC8","EUR"
6,0.968190854870775,"ABCC8","EUR"
7,0.976143141153082,"ABCC8","EUR"
8,0.980119284294235,"ABCC8","EUR"
9,0.984095427435388,"ABCC8","EUR"
10,0.986083499005964,"ABCC8","EUR"
1,0.503067484662577,"ABCC8","SAS"
2,0.752556237218814,"ABCC8","SAS"
3,0.867075664621677,"ABCC8","SAS"
4,0.912065439672802,"ABCC8","SAS"
5,0.942740286298569,"ABCC8","SAS"
6,0.961145194274029,"ABCC8","SAS"
7,0.973415132924335,"ABCC8","SAS"
8,0.98159509202454,"ABCC8","SAS"
9,0.983640081799591,"ABCC8","SAS"
