"k","mean","lo","hi","gene"
1,0.373374600638978,0.329772364217252,0.443690095846645,"ABCC8"
2,0.560378594249201,0.518370607028754,0.629193290734824,"ABCC8"
3,0.670702076677316,0.618510383386581,0.726936900958466,"ABCC8"
4,0.738575878594249,0.705171725239617,0.785243610223642,"ABCC8"
5,0.786710063897764,0.758686102236422,0.831070287539936,"ABCC8"
6,0.823094249201278,0.794628594249201,0.863119009584665,"ABCC8"
7,0.849819488817891,0.829672523961661,0.882687699680511,"ABCC8"
8,0.868694089456869,0.851837060702875,0.90055910543131,"ABCC8"
9,0.884490415335463,0.867012779552716,0.913039137380192,"ABCC8"
10,0.896289137380192,0.881289936102236,0.920626996805112,"ABCC8"
1,0.364388977635783,0.32388178913738,0.415335463258786,"AKT1"
2,0.553261182108626,0.521865015974441,0.60513178913738,"AKT1"
3,0.658050319488818,0.620107827476038,0.708865814696486,"AKT1"
4,0.723154952076677,0.691493610223642,0.764077476038339,"AKT1"
5,0.763505591054313,0.735423322683706,0.797224440894569,"AKT1"
6,0.792593450479233,0.772663738019169,0.819588658146965,"AKT1"
7,0.8154696485623,0.797124600638978,0.83426517571885,"AKT1"
8,0.83233785942492,0.812999201277955,0.847044728434505,"AKT1"
9,0.844283546325879,0.825479233226837,0.861022364217252,"AKT1"
10,0.853103833865815,0.835063897763578,0.867811501597444,"AKT1"
1,0.326944089456869,0.238418530351438,0.416533546325879,"CARD11"
2,0.538360223642173,0.478334664536741,0.609424920127795,"CARD11"
3,0.672276357827476,0.622404153354633,0.726936900958466,"CARD11"
4,0.765019968051118,0.728534345047923,0.811102236421725,"CARD11"
5,0.825418530351438,0.795527156549521,0.861521565495208,"CARD11"
6,0.867811501597444,0.84375,0.895766773162939,"CARD11"
7,0.897576677316294,0.880091853035144,0.921725239616613,"CARD11"
8,0.918251597444089,0.902555910543131,0.939696485623003,"CARD11"
9,0.934555111821086,0.92332268370607,0.952476038338658,"CARD11"
10,0.94623642172524,0.935203674121406,0.962060702875399,"CARD11"
1,0.325082268370607,0.262779552715655,0.424121405750799,"COL1A1"
2,0.515416932907348,0.468849840255591,0.575179712460064,"COL1A1"
3,0.62573482428115,0.590455271565495,0.678913738019169,"COL1A1"
4,0.700758785942492,0.666034345047923,0.749400958466454,"COL1A1"
5,0.75494249201278,0.724341054313099,0.7935303514377,"COL1A1"
6,0.791553514376997,0.764376996805112,0.826777156549521,"COL1A1"
7,0.818674920127796,0.792332268370607,0.849940095846645,"COL1A1"
8,0.838269968051118,0.818290734824281,0.865015974440895,"COL1A1"
9,0.853845047923323,0.838458466453674,0.877496006389776,"COL1A1"
10,0.866582268370607,0.852635782747604,0.887380191693291,"COL1A1"
1,0.317358626198083,0.254792332268371,0.399760383386581,"COL1A2"
2,0.508268370607029,0.45357428115016,0.568889776357827,"COL1A2"
3,0.626714856230032,0.579373003194888,0.682507987220447,"COL1A2"
4,0.699359424920128,0.670027955271565,0.744908146964856,"COL1A2"
5,0.750445686900958,0.728833865814696,0.785143769968051,"COL1A2"
6,0.783394568690096,0.76517571884984,0.809105431309904,"COL1A2"
7,0.804678115015974,0.788338658146965,0.824281150159744,"COL1A2"
8,0.819147763578275,0.804612619808307,0.838458466453674,"COL1A2"
9,0.830623003194888,0.815095846645367,0.852336261980831,"COL1A2"
10,0.838849840255591,0.820686900958466,0.862020766773163,"COL1A2"
1,0.395702076677316,0.325878594249201,0.466453674121406,"COL2A1"
2,0.583531150159744,0.55401357827476,0.626597444089457,"COL2A1"
3,0.685304313099041,0.654952076677316,0.732827476038339,"COL2A1"
4,0.74379552715655,0.72064696485623,0.776457667731629,"COL2A1"
5,0.780058306709265,0.76797124600639,0.802016773162939,"COL2A1"
6,0.801948083067093,0.792232428115016,0.818290734824281,"COL2A1"
