GENE	TRANSCRIPT_ID	FEATURE	TX_START	TX_END	GENOMIC_CHROM	GENOMIC_START0	GENOMIC_END	STRAND	LENGTH
ABCC8	ENST00000389817.8	exon	0	217	chr11	17476628	17476845	-	217
ABCC8	ENST00000389817.8	exon	1818	1960	chr11	17474885	17475027	-	142
ABCC8	ENST00000389817.8	exon	6623	6745	chr11	17470100	17470222	-	122
ABCC8	ENST00000389817.8	exon	13241	13408	chr11	17463437	17463604	-	167
ABCC8	ENST00000389817.8	exon	15020	15263	chr11	17461582	17461825	-	243
ABCC8	ENST00000389817.8	exon	16169	16358	chr11	17460487	17460676	-	189
ABCC8	ENST00000389817.8	exon	23562	23727	chr11	17453118	17453283	-	165
ABCC8	ENST00000389817.8	exon	28174	28330	chr11	17448515	17448671	-	156
ABCC8	ENST00000389817.8	exon	33533	33668	chr11	17443177	17443312	-	135
ABCC8	ENST00000389817.8	exon	33963	34126	chr11	17442719	17442882	-	163
ABCC8	ENST00000389817.8	exon	44601	44642	chr11	17432203	17432244	-	41
ABCC8	ENST00000389817.8	exon	45886	46032	chr11	17430813	17430959	-	146
ABCC8	ENST00000389817.8	exon	48175	48281	chr11	17428564	17428670	-	106
ABCC8	ENST00000389817.8	exon	48440	48557	chr11	17428288	17428405	-	117
ABCC8	ENST00000389817.8	exon	48903	48979	chr11	17427866	17427942	-	76
ABCC8	ENST00000389817.8	exon	49691	49797	chr11	17427048	17427154	-	106
ABCC8	ENST00000389817.8	exon	59883	59916	chr11	17416929	17416962	-	33
ABCC8	ENST00000389817.8	exon	61506	61542	chr11	17415303	17415339	-	36
ABCC8	ENST00000389817.8	exon	62235	62334	chr11	17414511	17414610	-	99
ABCC8	ENST00000389817.8	exon	63367	63452	chr11	17413393	17413478	-	85
ABCC8	ENST00000389817.8	exon	64099	64180	chr11	17412665	17412746	-	81
ABCC8	ENST00000389817.8	exon	66192	66330	chr11	17410515	17410653	-	138
ABCC8	ENST00000389817.8	exon	68328	68454	chr11	17408391	17408517	-	126
ABCC8	ENST00000389817.8	exon	69392	69492	chr11	17407353	17407453	-	100
ABCC8	ENST00000389817.8	exon	69716	69958	chr11	17406887	17407129	-	242
ABCC8	ENST00000389817.8	exon	70057	70224	chr11	17406621	17406788	-	167
ABCC8	ENST00000389817.8	exon	71282	71352	chr11	17405493	17405563	-	70
ABCC8	ENST00000389817.8	exon	72176	72334	chr11	17404511	17404669	-	158
ABCC8	ENST00000389817.8	exon	74092	74185	chr11	17402660	17402753	-	93
ABCC8	ENST00000389817.8	exon	78404	78507	chr11	17398338	17398441	-	103
ABCC8	ENST00000389817.8	exon	79048	79162	chr11	17397683	17397797	-	114
ABCC8	ENST00000389817.8	exon	79532	79653	chr11	17397192	17397313	-	121
ABCC8	ENST00000389817.8	exon	79799	79930	chr11	17396915	17397046	-	131
ABCC8	ENST00000389817.8	exon	80915	80994	chr11	17395851	17395930	-	79
ABCC8	ENST00000389817.8	exon	81127	81236	chr11	17395609	17395718	-	109
ABCC8	ENST00000389817.8	exon	81570	81674	chr11	17395171	17395275	-	104
ABCC8	ENST00000389817.8	exon	82446	82580	chr11	17394265	17394399	-	134
ABCC8	ENST00000389817.8	exon	83086	83149	chr11	17393696	17393759	-	63
ABCC8	ENST00000389817.8	exon	83717	83961	chr11	17392884	17393128	-	244
AKT1	ENST00000649815.2	exon	0	265	chr14	104795483	104795748	-	265
AKT1	ENST00000649815.2	exon	2444	2622	chr14	104793126	104793304	-	178
AKT1	ENST00000649815.2	exon	3026	3151	chr14	104792597	104792722	-	125
AKT1	ENST00000649815.2	exon	15532	15661	chr14	104780087	104780216	-	129
AKT1	ENST00000649815.2	exon	18978	19090	chr14	104776658	104776770	-	112
AKT1	ENST00000649815.2	exon	19949	20097	chr14	104775651	104775799	-	148
AKT1	ENST00000649815.2	exon	20541	20673	chr14	104775075	104775207	-	132
AKT1	ENST00000649815.2	exon	20745	20811	chr14	104774937	104775003	-	66
AKT1	ENST00000649815.2	exon	21768	21837	chr14	104773911	104773980	-	69
AKT1	ENST00000649815.2	exon	22168	22294	chr14	104773454	104773580	-	126
AKT1	ENST00000649815.2	exon	22369	22498	chr14	104773250	104773379	-	129
AKT1	ENST00000649815.2	exon	22656	22871	chr14	104772877	104773092	-	215
AKT1	ENST00000649815.2	exon	23296	23384	chr14	104772364	104772452	-	88
AKT1	ENST00000649815.2	exon	24901	25004	chr14	104770744	104770847	-	103
