GENE	TRANSCRIPT_ID	TRANSCRIPT_NAME	TRANSCRIPT_SPAN_BP	STRAND	PATHOGENIC_TOTAL	PATHOGENIC_IN_SELECTED_TRANSCRIPT	COMMON_TOTAL_FROM_GENE_BODY_TABLE	COMMON_IN_SELECTED_TRANSCRIPT	COMMON_INTRON	COMMON_EXON_NONCDS	COMMON_CDS	COMMON_OUTSIDE_SELECTED_TRANSCRIPT	COMMON_WITH_RSID
SCN2A	ENST00000375437.7	SCN2A-202	152891	+	408	408	252	240	238	1	1	12	0
SCN8A	ENST00000627620.5	SCN8A-209	221632	+	275	275	131	130	126	1	3	1	0
KCNQ2	ENST00000359125.7	KCNQ2-204	72448	-	387	387	86	86	75	10	1	0	0
KIF1A	ENST00000498729.9	KIF1A-213	106453	-	128	128	136	129	125	3	1	7	0
SPTLC1	ENST00000262554.7	SPTLC1-201	84267	-	12	12	69	52	52	0	0	17	0
SPTAN1	ENST00000372739.7	SPTAN1-203	81076	+	32	32	64	64	62	0	2	0	0
COL1A1	ENST00000225964.10	COL1A1-201	17531	-	488	488	19	19	17	2	0	0	0
COL1A2	ENST00000297268.11	COL1A2-201	36333	+	558	558	43	43	39	1	3	0	0
COL2A1	ENST00000380518.8	COL2A1-202	31510	-	481	481	70	70	65	1	4	0	0
KCNJ11	ENST00000339994.5	KCNJ11-201	3412	-	44	44	45	6	0	3	3	39	0
ABCC8	ENST00000389817.8	ABCC8-202	83961	-	147	147	167	167	162	0	5	0	0
PIK3CA	ENST00000263967.4	PIK3CA-201	91737	+	86	86	72	72	69	3	0	0	0
AKT1	ENST00000649815.2	AKT1-218	26400	-	3	3	38	38	37	0	1	0	0
MTOR	ENST00000361445.9	MTOR-201	156017	-	51	51	109	109	103	1	5	0	0
STAT1	ENST00000361099.8	STAT1-201	45023	-	74	69	86	34	34	0	0	52	0
STAT3	ENST00000264657.10	STAT3-201	75119	-	95	95	84	84	80	4	0	0	0
NLRP3	ENST00000336119.8	NLRP3-201	32645	+	62	62	193	39	37	1	1	154	0
CARD11	ENST00000396946.9	CARD11-203	137726	-	14	14	236	236	234	0	2	0	0
RELA	ENST00000406246.8	RELA-202	9316	-	1	1	7	7	7	0	0	0	0
KIF5B	ENST00000302418.5	KIF5B-201	47411	-	4	4	18	18	17	1	0	0	0
