GENE	CHROM	TRANSCRIPT_START0	TRANSCRIPT_END	STRAND	GENE_ID	GENE_TYPE	TRANSCRIPT_ID	TRANSCRIPT_NAME	TRANSCRIPT_TYPE	TRANSCRIPT_SPAN_BP	MANE_SELECT	ENSEMBL_CANONICAL	APPRIS	BASIC
SCN2A	chr2	165239413	165392304	+	ENSG00000136531.19	protein_coding	ENST00000375437.7	SCN2A-202	protein_coding	152891	yes	yes	yes	yes
SCN8A	chr12	51591232	51812864	+	ENSG00000196876.19	protein_coding	ENST00000627620.5	SCN8A-209	protein_coding	221632	yes	yes	no	yes
KCNQ2	chr20	63400207	63472655	-	ENSG00000075043.21	protein_coding	ENST00000359125.7	KCNQ2-204	protein_coding	72448	yes	yes	yes	yes
KIF1A	chr2	240713766	240820219	-	ENSG00000130294.18	protein_coding	ENST00000498729.9	KIF1A-213	protein_coding	106453	yes	yes	no	yes
SPTLC1	chr9	92031146	92115413	-	ENSG00000090054.16	protein_coding	ENST00000262554.7	SPTLC1-201	protein_coding	84267	yes	yes	yes	yes
SPTAN1	chr9	128552586	128633662	+	ENSG00000197694.19	protein_coding	ENST00000372739.7	SPTAN1-203	protein_coding	81076	yes	yes	yes	yes
COL1A1	chr17	50184100	50201631	-	ENSG00000108821.14	protein_coding	ENST00000225964.10	COL1A1-201	protein_coding	17531	yes	yes	yes	yes
COL1A2	chr7	94394894	94431227	+	ENSG00000164692.19	protein_coding	ENST00000297268.11	COL1A2-201	protein_coding	36333	yes	yes	yes	yes
COL2A1	chr12	47972966	48004476	-	ENSG00000139219.19	protein_coding	ENST00000380518.8	COL2A1-202	protein_coding	31510	yes	yes	yes	yes
KCNJ11	chr11	17385247	17388659	-	ENSG00000187486.7	protein_coding	ENST00000339994.5	KCNJ11-201	protein_coding	3412	yes	yes	yes	yes
ABCC8	chr11	17392884	17476845	-	ENSG00000006071.16	protein_coding	ENST00000389817.8	ABCC8-202	protein_coding	83961	yes	yes	yes	yes
PIK3CA	chr3	179148356	179240093	+	ENSG00000121879.6	protein_coding	ENST00000263967.4	PIK3CA-201	protein_coding	91737	yes	yes	yes	yes
AKT1	chr14	104769348	104795748	-	ENSG00000142208.19	protein_coding	ENST00000649815.2	AKT1-218	protein_coding	26400	yes	yes	yes	yes
MTOR	chr1	11106534	11262551	-	ENSG00000198793.14	protein_coding	ENST00000361445.9	MTOR-201	protein_coding	156017	yes	yes	yes	yes
STAT1	chr2	190969148	191014171	-	ENSG00000115415.21	protein_coding	ENST00000361099.8	STAT1-201	protein_coding	45023	yes	yes	yes	yes
STAT3	chr17	42313323	42388442	-	ENSG00000168610.17	protein_coding	ENST00000264657.10	STAT3-201	protein_coding	75119	yes	yes	no	yes
NLRP3	chr1	247416172	247448817	+	ENSG00000162711.19	protein_coding	ENST00000336119.8	NLRP3-201	protein_coding	32645	yes	yes	yes	yes
CARD11	chr7	2906141	3043867	-	ENSG00000198286.11	protein_coding	ENST00000396946.9	CARD11-203	protein_coding	137726	yes	yes	yes	yes
RELA	chr11	65653600	65662916	-	ENSG00000173039.20	protein_coding	ENST00000406246.8	RELA-202	protein_coding	9316	yes	yes	yes	yes
KIF5B	chr10	32009014	32056425	-	ENSG00000170759.11	protein_coding	ENST00000302418.5	KIF5B-201	protein_coding	47411	yes	yes	yes	yes
